subject,session,total_volume_mm3_Association_ArcuateFasciculusR,total_volume_mm3_Association_ArcuateFasciculusL,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusL,total_volume_mm3_Association_UncinateFasciculusL,total_volume_mm3_Association_InferiorLongitudinalFasciculusR,total_volume_mm3_Association_SuperiorLongitudinalFasciculusR,total_volume_mm3_Association_MiddleLongitudinalFasciculusL,total_volume_mm3_Association_UncinateFasciculusR,total_volume_mm3_Association_VerticalOccipitalFasciculusR,total_volume_mm3_Association_InferiorLongitudinalFasciculusL,total_volume_mm3_Association_ExtremeCapsuleR,total_volume_mm3_Association_SuperiorLongitudinalFasciculusL,total_volume_mm3_Association_HippocampusAlveusL,total_volume_mm3_Association_CingulumL,total_volume_mm3_Association_ParietalAslantTractL,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusR,total_volume_mm3_Association_FrontalAslantTractR,total_volume_mm3_Association_VerticalOccipitalFasciculusL,total_volume_mm3_Association_FrontalAslantTractL,total_volume_mm3_Association_ParietalAslantTractR,total_volume_mm3_Association_ExtremeCapsuleL,total_volume_mm3_Association_CingulumR,total_volume_mm3_Association_HippocampusAlveusR,total_volume_mm3_Association_MiddleLongitudinalFasciculusR,total_volume_mm3_ProjectionBrainstem_CorticopontineTractL,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractR,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationL,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationL,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractL,total_volume_mm3_ProjectionBrainstem_MedialLemniscusL,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-rl,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationL,total_volume_mm3_ProjectionBrainstem_ReticularTractR,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaR,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleR,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisR,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisL,total_volume_mm3_ProjectionBrainstem_CorticospinalTractR,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisL,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusR,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractL,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationR,total_volume_mm3_ProjectionBrainstem_CorticopontineTractR,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractR,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaL,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractL,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusL,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisR,total_volume_mm3_ProjectionBasalGanglia_FornixL,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationR,total_volume_mm3_ProjectionBrainstem_MedialLemniscusR,total_volume_mm3_ProjectionBasalGanglia_FornixR,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-lr,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleL,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationR,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractR,total_volume_mm3_ProjectionBrainstem_CorticospinalTractL,total_volume_mm3_ProjectionBrainstem_ReticularTractL,total_volume_mm3_Commissure_CorpusCallosum,total_volume_mm3_Commissure_AnteriorCommissure,total_volume_mm3_Cerebellum_Vermis,total_volume_mm3_Cerebellum_CerebellumL,total_volume_mm3_Cerebellum_CerebellumR,total_volume_mm3_Cerebellum_MiddleCerebellarPeduncle,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleR,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleL,total_volume_mm3_Cerebellum_SuperiorCerebellarPeduncle,total_volume_mm3_CranialNerve_CNIIIL,total_volume_mm3_CranialNerve_CNVR,total_volume_mm3_CranialNerve_CNVIIR,total_volume_mm3_CranialNerve_CNVIIIL,total_volume_mm3_CranialNerve_CNIIR,total_volume_mm3_CranialNerve_CNIIIR,total_volume_mm3_CranialNerve_CNVIIIR,total_volume_mm3_CranialNerve_CNVL,total_volume_mm3_CranialNerve_CNIIL,total_volume_mm3_CranialNerve_CNVIIL,total_volume_all_bundles,mean_bundle_volume
sub-20305,ses-1,19809.2,27894.2,24763.4,18063.3,46403.3,44508.7,13543.9,18160.3,10728.1,42165.8,13273.7,41860.0,9636.85,34384.9,23361.9,30964.2,26076.4,13736.7,31395.9,23207.2,14631.5,37931.4,8744.53,17369.9,33270.8,12087.2,8024.77,45302.8,50082.5,5633.37,185.466,3265.92,8533.88,1909.31,8546.78,4995.91,1648.93,5969.29,5494.58,1687.0,9308.91,7363.97,32406.1,1054.45,1200.0,805.732,3806.96,1258.96,5536.95,2118.73,6389.36,6378.3,4155.78,6983.83,45258.6,51596.3,9208.8,7745.96,153303.0,3140.64,13855.3,34399.6,34222.1,47139.0,15485.8,13343.7,12911.4,1895.19,3819.86,840.737,5438.08,4144.73,2274.1,5411.06,3782.4,3374.0,1027.43,1351639.605,17553.761103896104
sub-20305,ses-2,17502.6,29408.0,29022.9,18208.8,45107.5,45713.0,16601.0,13704.8,12113.0,43169.3,13432.1,42795.9,8839.1,33438.5,22883.5,28985.5,27559.5,14252.0,30634.4,24786.7,16534.1,37042.8,8215.76,18824.8,31136.8,10025.0,7480.66,42257.9,48567.5,6783.62,1336.34,1687.62,5179.53,2516.68,8254.45,5085.57,1689.46,7677.18,5049.34,1867.55,6867.76,8866.74,35426.4,652.201,1435.21,1280.45,3912.59,1626.2,4454.86,3063.87,6010.44,5541.25,5056.09,6876.97,45586.5,50004.5,8833.57,8511.77,150788.0,5014.33,19783.4,35531.4,36574.8,46882.3,17128.6,12652.2,12097.0,1727.53,4001.02,733.265,6750.46,4902.56,2065.3,5167.86,3134.49,3558.24,1822.11,1359692.9960000003,17658.3505974026
sub-21161,ses-1,13411.3,18601.2,27814.3,15208.8,37405.7,25087.0,11752.5,15277.6,8222.52,33757.2,9689.05,28415.0,7676.56,26533.3,21419.5,16924.7,24552.7,8807.78,28276.2,22357.8,13260.2,29266.1,5823.75,16427.2,31741.1,17112.0,7268.78,35881.5,39704.4,6629.48,1201.23,3560.08,13566.6,1291.5,5155.58,3900.31,849.335,9293.55,3590.79,3941.45,17667.8,6523.24,30404.1,3818.02,911.362,306.448,2938.59,1104.2,3529.99,1645.85,7734.29,4188.95,508.496,4882.29,34054.5,39055.9,6342.68,6849.95,131075.0,1921.6,18730.2,28199.4,27525.1,33633.2,8695.4,8673.9,9428.05,1106.04,1795.09,870.215,4131.83,2668.37,1384.85,3138.79,1424.16,3219.24,928.557,1111671.293,14437.28951948052
sub-21161,ses-2,12256.1,22142.9,27011.7,14177.1,32350.9,29727.9,11675.1,16184.7,10018.8,40330.2,11303.0,27816.2,7063.05,27299.1,22500.3,24523.9,27047.3,11128.6,28886.6,23251.4,13704.2,27567.5,6017.81,16890.9,32272.9,15368.5,8618.02,34676.0,39903.4,6141.86,746.162,3498.67,13543.9,1151.48,4856.5,3591.4,1104.81,9084.75,4096.83,3630.71,10847.3,7306.86,32885.8,4607.17,760.287,1085.77,2942.89,1377.48,3475.33,1957.83,7040.33,4580.14,3031.94,4382.4,35255.1,39232.1,7354.15,6533.68,135131.0,2352.71,18854.9,30160.3,30339.0,33601.2,8644.42,7633.57,9615.36,926.101,1924.05,655.271,3579.73,2440.53,1571.55,3794.68,2209.01,2976.66,1024.36,1145252.111,14873.40403896104
sub-21161,ses-3,10499.1,22674.1,30595.7,18398.0,39412.7,25881.7,12288.6,15486.4,11659.2,39993.1,10667.4,31068.0,7619.45,25799.4,21512.2,26812.7,24570.5,12227.2,27736.3,22309.3,13445.7,28599.8,6362.33,16384.2,32573.2,16683.9,10311.2,39114.9,46957.8,6337.77,2151.28,5117.5,15156.0,1321.6,4765.61,4225.18,1369.5,9206.96,3886.18,2571.34,15275.1,5484.75,31542.1,4422.31,1233.78,200.205,2403.07,1330.81,4190.79,1433.37,5796.11,5377.89,1725.69,4338.18,33393.0,41638.3,6070.01,7005.94,141832.0,5258.14,12361.7,29909.7,28766.8,31750.3,11132.2,12343.3,9591.4,1741.04,2553.53,705.63,4039.71,3479.02,1791.4,4286.59,2059.16,3159.06,1308.09,1184683.175,15385.49577922078
sub-19861,ses-2,22045.9,28158.2,22387.3,15676.8,40457.3,39544.7,10683.3,19411.9,11911.0,42611.7,6469.19,36289.9,7617.61,34782.8,22204.9,34393.5,24662.0,12093.3,21380.1,25067.4,12948.8,31296.4,6735.11,7239.92,34800.6,19219.7,10561.7,41516.7,49237.5,6442.17,2749.44,4448.11,20702.2,1609.01,5873.49,4861.41,1868.78,8154.35,5112.59,3039.3,18054.0,8394.47,35344.7,579.734,2119.35,864.074,2460.18,1375.64,5571.34,3276.97,5990.18,6580.96,645.445,5266.74,39584.0,54342.1,9157.22,11223.1,169819.0,2679.43,18444.0,31714.6,33177.5,39830.9,11495.2,9190.38,11680.0,1210.44,2780.76,261.617,2928.15,5002.66,1277.38,3378.3,2504.4,4085.77,1502.76,1320059.5299999998,17143.630259740257
sub-20139,ses-1,31601.6,31224.6,26882.7,19337.6,49404.5,48923.7,11981.6,16528.6,13721.4,43717.7,14149.4,48422.5,7796.32,31666.7,22938.2,25603.5,13910.5,11363.8,16329.6,22083.9,11740.8,34123.2,7060.6,15148.6,34053.2,15723.4,7749.64,39000.6,46847.9,7118.94,2739.61,5065.3,4381.78,1749.64,6692.73,5497.03,2029.68,3420.06,4536.54,2288.23,14027.2,4522.42,33481.5,,1298.87,,3135.72,2000.82,4513.82,2033.98,6289.87,5957.63,2837.26,5471.85,35350.9,43133.7,4317.3,2891.3,146595.0,1301.95,12079.2,34822.7,35868.6,36800.2,10578.9,11443.0,10208.6,414.534,2675.74,487.615,3705.02,4012.69,1020.06,4588.13,2548.62,3580.96,1039.1,1259590.659,16794.54212
sub-20139,ses-2,28004.7,29301.1,28039.7,21458.8,50627.9,49962.1,11459.6,18665.7,15859.2,45698.9,14022.9,48125.3,7691.92,31672.9,24555.8,31724.5,12290.5,14226.8,16786.5,24352.5,16206.1,33505.4,5972.37,16658.1,35127.9,16291.5,7322.83,38150.7,45953.1,6830.3,305.834,4399.59,6687.21,1772.98,6873.9,5046.88,1405.73,4531.01,3734.49,2546.16,14346.6,7194.47,33196.5,,1316.07,,3219.86,1922.83,4538.38,2016.17,6585.88,6888.64,342.068,5817.61,39506.7,46464.7,5963.77,1163.77,146551.0,778.711,13925.9,29347.2,35497.0,36897.9,11755.6,10641.6,10316.1,845.65,2619.86,583.419,3369.09,3299.08,1123.85,3945.75,2684.34,3364.18,1151.48,1283031.1320000002,17107.081760000005
sub-20139,ses-3,25933.9,29487.2,31007.8,18925.5,45758.5,45844.4,10750.3,14488.4,13489.3,44630.3,13940.0,48702.6,7917.3,30393.7,23095.4,25513.8,13749.0,11390.2,19405.7,23383.4,15826.6,33176.3,5510.54,18064.5,32050.6,14170.3,7125.69,38042.0,44932.5,6368.48,864.074,3808.8,2271.03,1444.42,6605.53,4756.4,1992.22,3197.75,3957.42,2453.43,14266.1,6776.87,35524.1,,1453.02,,2792.43,1903.79,3797.14,1978.71,6307.68,6392.43,114.841,5116.89,36366.6,47812.7,4080.25,2685.57,145746.0,573.593,13765.0,31167.5,36480.9,37604.1,9785.47,9926.72,9442.17,602.457,3937.16,372.774,3004.91,3760.29,1071.65,4830.09,2695.39,2954.56,1244.83,1240759.969,16543.466253333332
sub-22520,ses-1,20662.8,23968.7,15866.5,12342.7,27408.4,31442.0,9528.76,16589.4,7843.6,37409.4,10888.4,33130.2,6280.04,25136.8,21224.8,15285.0,17632.8,10755.2,19359.1,21103.2,11078.8,21173.2,6484.55,11335.5,23443.0,8161.72,5887.0,32687.4,34542.7,2779.53,,3754.76,9757.83,1561.72,5000.82,4266.33,932.242,2094.78,3428.05,2479.22,8476.77,7998.98,22458.6,856.704,1215.97,,2177.07,989.97,3370.93,3503.58,2032.75,4551.28,,4223.95,33126.5,38831.7,3257.32,3178.1,129622.0,4363.97,12706.2,32387.1,28116.5,32964.4,10661.8,9226.0,6399.18,829.069,1588.74,717.298,2705.22,4230.09,1260.8,1562.33,1486.8,3653.43,974.616,1000412.6690000001,13519.090121621623
