"participant_id","session_id","task","run","missing_events_tsv","response_time_all_na","failed_fmri_QC","qc_determination"
19861,1,"nback",1,"pass","pass","pass","pass"
19861,2,"nback",1,"pass","pass","pass","pass"
20139,1,"nback",1,"pass","pass","pass","pass"
20139,2,"nback",1,"pass","pass","pass","pass"
20139,3,"nback",1,"pass","pass","pass","pass"
20141,1,"nback",1,"pass","pass","pass","pass"
20149,1,"nback",1,"pass","fail","pass","fail"
20149,2,"nback",1,"pass","pass","pass","pass"
20149,3,"nback",1,"pass","pass","pass","pass"
20188,1,"nback",1,"pass","pass","pass","pass"
20188,2,"nback",1,"pass","pass","pass","pass"
20188,3,"nback",1,"pass","pass","pass","pass"
20214,1,"nback",1,"pass","pass","pass","pass"
20214,2,"nback",1,"pass","fail","pass","fail"
20214,3,"nback",1,"pass","pass","pass","pass"
20238,1,"nback",1,"pass","pass","pass","pass"
20238,2,"nback",1,"pass","pass","pass","pass"
20252,1,"nback",1,"pass","pass","pass","pass"
20252,2,"nback",1,"pass","pass","pass","pass"
20253,1,"nback",1,"pass","pass","pass","pass"
20253,2,"nback",1,"pass","pass","pass","pass"
20253,3,"nback",1,"pass","pass","pass","pass"
20258,1,"nback",1,"fail","pass","pass","fail"
20258,2,"nback",1,"pass","pass","pass","pass"
20259,1,"nback",1,"pass","pass","pass","pass"
20259,2,"nback",1,"pass","pass","pass","pass"
20259,3,"nback",1,"pass","pass","pass","pass"
20302,1,"nback",1,"pass","pass","pass","pass"
20302,2,"nback",1,"pass","pass","pass","pass"
20303,2,"nback",1,"pass","pass","pass","pass"
20303,3,"nback",1,"pass","pass","pass","pass"
20305,1,"nback",1,"pass","pass","pass","pass"
20305,2,"nback",1,"pass","pass","pass","pass"
20328,1,"nback",1,"pass","pass","pass","pass"
20328,2,"nback",1,"pass","pass","pass","pass"
20336,1,"nback",1,"fail","pass","pass","fail"
20347,1,"nback",1,"pass","pass","pass","pass"
20350,1,"nback",1,"pass","pass","pass","pass"
20352,1,"nback",1,"pass","pass","pass","pass"
20352,2,"nback",1,"fail","pass","pass","fail"
20399,1,"nback",1,"pass","pass","pass","pass"
20399,2,"nback",1,"pass","pass","pass","pass"
20402,1,"nback",1,"pass","pass","pass","pass"
20403,1,"nback",1,"pass","pass","pass","pass"
20410,1,"nback",1,"pass","pass","pass","pass"
20427,1,"nback",1,"pass","pass","pass","pass"
20427,2,"nback",1,"pass","pass","pass","pass"
20463,1,"nback",1,"pass","pass","pass","pass"
20463,2,"nback",1,"pass","pass","pass","pass"
20494,1,"nback",1,"pass","pass","pass","pass"
20494,2,"nback",1,"pass","pass","pass","pass"
20494,3,"nback",1,"pass","pass","pass","pass"
