participant_id,session_id,lh_euler,rh_euler,lh_holes,rh_holes,cortex_numvert_lh,cortex_pialsurfarea_lh,cortex_meanthickness_lh,cortex_numvert_rh,cortex_pialsurfarea_rh,cortex_meanthickness_rh,brainseg_brainsegvol,brainsegnotvent_brainsegvolnotvent,ventriclechoroidvol,lhcortex_lhcortexvol,rhcortex_rhcortexvol,cortex_cortexvol,lhcerebralwhitematter_lhcerebralwhitemattervol,rhcerebralwhitematter_rhcerebralwhitemattervol,cerebralwhitematter_cerebralwhitemattervol,subcortgray_subcortgrayvol,totalgray_totalgrayvol,supratentorial_supratentorialvol,supratentorialnotvent_supratentorialvolnotvent,mask_maskvol,lhsurfaceholes,rhsurfaceholes,surfaceholes,estimatedtotalintracranialvol_etiv
sub-138950,ses-1,-22.0,-16.0,12.0,9.0,145655.0,112568.0,2.53958,146773.0,111939.0,2.52613,1247331.0,1203329.0,38050.0,273343.629651,271807.830681,545151.460332,222308.0,221410.0,443718.0,61756.0,732336.460332,1094645.0,1050643.0,1593119.0,12.0,9.0,21.0,1736213.297026
sub-138950,ses-2,-24.0,-6.0,13.0,4.0,144650.0,111693.0,2.51707,146631.0,111148.0,2.48812,1241259.0,1195001.0,40161.0,268198.96262,265454.039025,533653.001644,223680.0,223437.0,447117.0,62073.0,722088.001644,1088974.0,1042716.0,1591845.0,13.0,4.0,17.0,1704076.312946
sub-19861,ses-1,-12.0,-24.0,7.0,13.0,147063.0,108473.0,2.76905,146585.0,107798.0,2.78313,1308141.0,1296168.0,8223.0,290213.314554,290492.802204,580706.116759,244657.5,246891.5,491549.0,65079.0,775489.116759,1149389.0,1137416.0,1618715.0,7.0,13.0,20.0,1637375.271235
sub-19861,ses-2,-10.0,-6.0,6.0,4.0,141342.0,104232.0,2.69903,143547.0,104683.0,2.70976,1276313.0,1264698.0,8000.0,272254.86406,275044.394588,547299.258647,242904.5,245433.5,488338.0,66791.0,746050.258647,1114047.0,1102432.0,1587604.0,6.0,4.0,10.0,1350846.022133
sub-20124,ses-1,-4.0,-10.0,3.0,6.0,121730.0,92421.3,2.65667,121126.0,91421.5,2.67579,1007598.0,999229.0,5921.0,233380.49627,233298.014711,466678.510981,175635.5,175809.5,351445.0,51607.0,624183.510981,878248.0,869879.0,1159784.0,3.0,6.0,9.0,1264088.625718
sub-20125,ses-1,-14.0,-24.0,8.0,13.0,111062.0,87387.5,2.5394,112125.0,87215.8,2.52332,938404.0,922135.0,13324.0,210363.413358,209797.180096,420160.593454,164090.5,166085.5,330176.0,45656.0,571395.593454,812622.0,796353.0,1168211.0,8.0,13.0,21.0,1217428.087442
sub-20139,ses-1,-2.0,-8.0,2.0,5.0,152621.0,112839.0,2.72444,152145.0,112573.0,2.66124,1333018.0,1316207.0,13117.0,295282.349827,287211.834681,582494.184509,260576.0,257668.0,518244.0,65904.0,769846.184509,1183434.0,1166623.0,1626717.0,2.0,5.0,7.0,1580494.205555
sub-20139,ses-2,0.0,-4.0,1.0,3.0,151965.0,111652.0,2.68705,150196.0,110888.0,2.62499,1322703.0,1305665.0,13428.0,287969.572081,279536.021283,567505.593364,262351.5,259972.5,522324.0,66238.0,755049.593364,1172913.0,1155875.0,1614151.0,1.0,3.0,4.0,1307016.477968
sub-20139,ses-3,-10.0,-2.0,6.0,2.0,152215.0,111149.0,2.66369,151816.0,111203.0,2.60436,1322583.0,1306418.0,12599.0,284839.676874,277877.73373,562717.410604,265936.0,262153.0,528089.0,65661.0,749797.410604,1172573.0,1156408.0,1614377.0,6.0,2.0,8.0,1275632.041815
sub-20141,ses-1,-10.0,-8.0,6.0,5.0,125324.0,96808.7,2.69787,126271.0,95171.2,2.72352,1112228.0,1097686.0,11702.0,247719.826655,248010.622098,495730.448752,204070.0,204824.0,408894.0,54463.0,662793.448752,973603.0,959061.0,1360695.0,6.0,5.0,11.0,1313893.524306
