subject	AcqGroup
sub-20141	1
sub-20350	1
sub-20403	1
sub-20724	1
sub-20794	1
sub-20855	1
sub-20919	1
sub-21050	1
sub-21124	1
sub-21150	1
sub-21345	1
sub-21432	1
sub-21797	1
sub-22520	1
sub-22670	1
sub-22744	1
sub-20333	2
sub-20336	2
sub-20347	2
sub-20402	2
sub-20410	2
sub-20846	2
sub-20860	2
sub-21116	2
sub-21146	2
sub-21514	2
sub-21827	2
sub-21856	2
sub-22745	2
sub-23303	2
sub-20252	3
sub-20302	3
sub-20427	3
sub-20463	3
sub-20533	3
sub-20823	3
sub-20836	3
sub-21023	3
sub-21038	3
sub-21154	3
sub-21325	3
sub-20953	4
sub-21104	4
sub-21112	4
sub-21193	4
sub-21493	4
sub-21855	4
sub-20572	5
sub-21623	5
sub-22510	5
sub-20448	6
sub-20849	6
sub-21088	6
sub-21554	7
sub-22617	7
sub-22618	7
sub-21712	8
sub-21713	8
sub-22473	8
sub-22798	9
sub-23113	9
sub-20842	10
sub-20918	10
sub-20214	11
sub-20253	11
sub-20212	12
sub-20934	12
sub-21141	13
sub-22653	13
sub-21095	14
sub-22797	14
sub-20902	15
sub-20976	15
sub-21539	16
sub-21567	16
sub-20335	17
sub-22169	18
sub-22654	19
sub-22870	20
sub-23582	21
sub-23698	22
sub-23676	23
sub-138950	24
sub-21738	25
sub-21139	26
sub-21161	27
sub-21197	28
sub-21131	29
sub-20983	30
sub-20968	31
sub-21118	32
sub-21035	33
sub-21560	34
sub-21568	35
sub-21516	36
sub-21553	37
sub-21224	38
sub-21580	39
sub-22045	40
sub-22064	41
sub-20865	42
sub-20866	43
sub-20916	44
sub-20923	45
sub-20961	46
sub-20936	47
sub-20966	48
sub-20964	49
sub-20612	50
sub-20626	51
sub-20691	52
sub-20494	53
sub-20712	54
sub-20818	55
sub-20812	56
sub-20721	57
sub-20310	58
sub-20328	59
sub-20352	60
sub-20399	61
sub-20258	62
sub-20259	63
sub-20305	64
sub-20303	65
sub-20236	66
sub-20238	67
sub-20188	68
sub-20149	69
sub-20139	70
sub-20125	71
sub-20124	72
sub-19861	73
