Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_reconstruction-normdefaced_run-01_suffix-T2w__1	datatype-anat_reconstruction-normdefaced_run-01_suffix-T2w	1				0.0		0.0		0.0	0.0	0.0	224	176	256	256	0.565		224	120	False	RAS+		anat		0	1	False		2.0	1.0	i	3.2		False	1.0	1.0	1.0
				datatype-anat_reconstruction-normrefaced_run-01_suffix-T1w__1	datatype-anat_reconstruction-normrefaced_run-01_suffix-T1w	1				0.0		0.0		0.0	0.0	0.0	221	176	256	256	0.0029		221	8	False	RAS+		anat		0	1	False		2.0	1.0		2.5		False	1.0	1.0	1.0
				datatype-anat_reconstruction-defaced_run-01_suffix-T2w__1	datatype-anat_reconstruction-defaced_run-01_suffix-T2w	1				0.0		0.0		0.0	0.0	0.0	220	176	256	256	0.565		220	120	False	RAS+		anat		0	1	False		2.0	1.0	i	3.2		False	1.0	1.0	1.0
				datatype-anat_echo-1_part-mag_suffix-MEGRE__1	datatype-anat_echo-1_part-mag_suffix-MEGRE	1				0.0		0.0		0.0	0.0	0.0	181	120	160	96	0.0075		181	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-1_part-phase_suffix-MEGRE__1	datatype-anat_echo-1_part-phase_suffix-MEGRE	1				0.0		0.0		0.0	0.0	0.0	181	120	160	96	0.0075		181	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-2_part-mag_suffix-MEGRE__1	datatype-anat_echo-2_part-mag_suffix-MEGRE	1				0.0		0.0		0.0	0.0	0.0	181	120	160	96	0.015		181	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-2_part-phase_suffix-MEGRE__1	datatype-anat_echo-2_part-phase_suffix-MEGRE	1				0.0		0.0		0.0	0.0	0.0	181	120	160	96	0.015		181	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-3_part-mag_suffix-MEGRE__1	datatype-anat_echo-3_part-mag_suffix-MEGRE	1				0.0		0.0		0.0	0.0	0.0	181	120	160	96	0.0225		181	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-3_part-phase_suffix-MEGRE__1	datatype-anat_echo-3_part-phase_suffix-MEGRE	1				0.0		0.0		0.0	0.0	0.0	181	120	160	96	0.0225		181	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-4_part-mag_suffix-MEGRE__1	datatype-anat_echo-4_part-mag_suffix-MEGRE	1				0.0		0.0		0.0	0.0	0.0	181	120	160	96	0.03		181	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-4_part-phase_suffix-MEGRE__1	datatype-anat_echo-4_part-phase_suffix-MEGRE	1				0.0		0.0		0.0	0.0	0.0	181	120	160	96	0.03		181	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_reconstruction-normsimplerefaced_run-01_suffix-T1w__1	datatype-anat_reconstruction-normsimplerefaced_run-01_suffix-T1w	1				0.0		0.0		0.0	0.0	0.0	2	176	256	256	0.0029		2	8	False	RAS+		anat		0	1	False		2.0	1.0		2.5		False	1.0	1.0	1.0
				datatype-dwi_run-01_suffix-dwi__1	datatype-dwi_run-01_suffix-dwi	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	197	140	140	81	0.089	0.00069	197	90	False	LAS+		dwi	3.0	81	103	True			0.75	j	4.2	0.096	False	1.714	1.714	1.7
				datatype-dwi_run-01_suffix-dwi_acquisition-VARIANTObliquity__1	datatype-dwi_run-01_suffix-dwi_acquisition-VARIANTObliquity	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	22	140	140	81	0.089	0.00069	22	90	False	LAS+		dwi	3.0	81	103	False			0.75	j	4.2	0.096	False	1.714	1.714	1.7
				datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-dwi__1	datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-dwi	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	198	140	140	81	0.089	0.00069	199	90	False	LAS+		fmap		81	1	True		1.0	0.75	j-	12.4	0.096	False	1.7142857313156128	1.714	1.7
			datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-dwiVARIANTVoxelSizeDim3C1	datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-dwi__2	datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-dwi	2				0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	140	140	81	0.089	0.00069	199	90	False	LAS+		fmap		81	1	True		1.0	0.75	j-	12.4	0.096	False	1.7142900228500366	1.714	1.701
				datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-dwi__1	datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-dwi	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	198	140	140	81	0.089	0.00069	199	90	False	LAS+		fmap		81	1	True		1.0	0.75	j	12.4	0.096	False	1.7142857313156128	1.714	1.7
