parcel	value	map
Parcel_001	-1.0249944	EF
Parcel_002	-2.592548	EF
Parcel_003	-2.0968072	EF
Parcel_004	-2.6418738	EF
Parcel_005	-3.208637	EF
Parcel_006	-4.9263997	EF
Parcel_007	-3.2782152	EF
Parcel_008	-1.1914268	EF
Parcel_009	-6.7734904	EF
Parcel_010	-2.49716	EF
Parcel_011	-3.3506227	EF
Parcel_012	-7.779504	EF
Parcel_013	-3.3032775	EF
Parcel_014	-3.7469256	EF
Parcel_015	-7.6602416	EF
Parcel_016	-3.470446	EF
Parcel_017	-2.289648	EF
Parcel_018	-5.036859	EF
Parcel_019	-5.9761405	EF
Parcel_020	-5.6170077	EF
Parcel_021	-2.9100688	EF
Parcel_022	-2.1278405	EF
Parcel_023	-2.7377584	EF
Parcel_024	-4.522621	EF
Parcel_025	-4.6787863	EF
Parcel_026	-4.359656	EF
Parcel_027	-2.9159987	EF
Parcel_028	-0.3910135	EF
Parcel_029	-2.8223674	EF
Parcel_030	-3.2730734	EF
Parcel_031	0.6351097	EF
Parcel_032	-3.8420236	EF
Parcel_033	-3.4442036	EF
Parcel_034	-4.3337374	EF
Parcel_035	-4.6922398	EF
Parcel_036	-4.3080096	EF
Parcel_037	-3.517234	EF
Parcel_038	-3.9389076	EF
Parcel_039	-5.4343634	EF
Parcel_040	-4.279472	EF
Parcel_041	-5.21507	EF
Parcel_042	-5.9360714	EF
Parcel_043	-3.7621052	EF
Parcel_044	-4.4182897	EF
Parcel_045	-3.838771	EF
Parcel_046	-4.9718976	EF
Parcel_047	-2.7341151	EF
Parcel_048	-4.6082835	EF
Parcel_049	-5.1061435	EF
Parcel_050	-4.051389	EF
Parcel_051	-4.751719	EF
Parcel_052	-4.5931935	EF
Parcel_053	-4.861911	EF
Parcel_054	-4.613127	EF
Parcel_055	-4.280875	EF
Parcel_056	-3.423923	EF
Parcel_057	-4.4466867	EF
Parcel_058	-3.747022	EF
Parcel_059	-4.5901947	EF
Parcel_060	-3.8273165	EF
Parcel_061	-1.1191931	EF
Parcel_062	-4.565412	EF
Parcel_063	-3.152961	EF
Parcel_064	-2.4451334	EF
Parcel_065	-2.2136085	EF
Parcel_066	-4.012955	EF
Parcel_067	-4.3172226	EF
Parcel_068	-2.6114311	EF
Parcel_069	-3.0488427	EF
Parcel_070	-1.4781272	EF
Parcel_071	-1.7912731	EF
Parcel_072	-3.8014216	EF
Parcel_073	2.7539637	EF
Parcel_074	-0.7457291	EF
Parcel_075	3.2580075	EF
Parcel_076	-2.1823697	EF
Parcel_077	5.0777044	EF
Parcel_078	3.7695253	EF
Parcel_079	0.20701943	EF
Parcel_080	2.3053608	EF
Parcel_081	2.937881	EF
Parcel_082	1.1401737	EF
Parcel_083	-1.3945198	EF
Parcel_084	-3.2321472	EF
Parcel_085	-3.810943	EF
Parcel_086	0.9580189	EF
Parcel_087	5.744437	EF
Parcel_088	2.278624	EF
Parcel_089	2.8865824	EF
Parcel_090	1.9169122	EF
Parcel_091	3.2491183	EF
Parcel_092	-5.556799	EF
Parcel_093	-4.67893	EF
Parcel_094	-5.2720037	EF
Parcel_095	-5.9759035	EF
Parcel_096	-3.7706048	EF
Parcel_097	-2.9577262	EF
Parcel_098	-4.465911	EF
Parcel_099	3.6747456	EF
Parcel_100	-4.9058566	EF
Parcel_101	2.7301688	EF
Parcel_102	-3.9868345	EF
Parcel_103	1.0193719	EF
Parcel_104	-4.754514	EF
Parcel_105	0.093512915	EF
Parcel_106	0.17125237	EF
Parcel_107	0.2826238	EF
Parcel_108	-5.268234	EF
Parcel_109	-5.5747952	EF
Parcel_110	0.4725517	EF
Parcel_111	-5.2048225	EF
Parcel_112	-3.319261	EF
Parcel_113	-1.7157732	EF
Parcel_114	-1.730109	EF
Parcel_115	-1.7831357	EF
Parcel_116	-1.578157	EF
Parcel_117	-3.0229502	EF
Parcel_118	-1.3794881	EF
Parcel_119	-1.4645091	EF
Parcel_120	-2.0957088	EF
Parcel_121	-0.817075	EF
Parcel_122	-1.3101019	EF
Parcel_123	-1.0405711	EF
Parcel_124	-3.4111195	EF
Parcel_125	-2.5745351	EF
Parcel_126	-2.169602	EF
Parcel_127	3.5308757	EF
Parcel_128	-3.0706153	EF
Parcel_129	-0.35349083	EF
Parcel_130	4.443057	EF
Parcel_131	5.3660154	EF
Parcel_132	4.782678	EF
Parcel_133	-2.5292497	EF
Parcel_134	-0.96023566	EF
Parcel_135	0.4920804	EF
Parcel_136	1.2948098	EF
Parcel_137	3.0748065	EF
Parcel_138	3.4429235	EF
Parcel_139	2.2624426	EF
Parcel_140	3.7756314	EF
Parcel_141	3.857924	EF
Parcel_142	1.8034077	EF
Parcel_143	-0.08687078	EF
Parcel_144	0.61220425	EF
Parcel_145	2.6088128	EF
Parcel_146	-1.1065135	EF
Parcel_147	-3.272708	EF
Parcel_148	6.0430512	EF
Parcel_149	-3.921053	EF
Parcel_150	-1.9620657	EF
Parcel_151	-1.3182214	EF
Parcel_152	-5.1343756	EF
Parcel_153	-3.4111564	EF
Parcel_154	-2.6064076	EF
Parcel_155	-3.592822	EF
Parcel_156	-3.963186	EF
Parcel_157	-3.3992586	EF
Parcel_158	-3.7791348	EF
Parcel_159	-3.4379213	EF
Parcel_160	-4.0599537	EF
Parcel_161	-3.185376	EF
Parcel_162	-4.7146626	EF
Parcel_163	-3.085663	EF
Parcel_164	-1.968816	EF
Parcel_165	-0.009296048	EF
Parcel_166	-2.569818	EF
Parcel_167	-3.8740559	EF
Parcel_168	-6.594746	EF
Parcel_169	-5.1907783	EF
Parcel_170	-3.584529	EF
Parcel_171	3.1640906	EF
Parcel_172	-1.880625	EF
Parcel_173	-5.9085217	EF
Parcel_174	-4.1894364	EF
Parcel_175	-0.16306469	EF
Parcel_176	-2.2230687	EF
Parcel_177	0.2752478	EF
Parcel_178	-2.9360983	EF
Parcel_179	-4.258067	EF
Parcel_180	-1.4714816	EF
Parcel_181	-1.6343788	EF
Parcel_182	0.82828283	EF
Parcel_183	-3.2199821	EF
Parcel_184	-3.281743	EF
Parcel_185	2.4974444	EF
Parcel_186	2.0031104	EF
Parcel_187	0.73273706	EF
Parcel_188	0.3844518	EF
Parcel_189	2.9454925	EF
Parcel_190	-6.7715445	EF
Parcel_191	-7.000085	EF
Parcel_192	-7.4429	EF
Parcel_193	-5.2330728	EF
Parcel_194	-5.234256	EF
Parcel_195	-5.486947	EF
Parcel_196	-6.843877	EF
Parcel_197	-5.6790676	EF
Parcel_198	-5.599509	EF
Parcel_199	1.289654	EF
Parcel_200	-2.781955	EF
Parcel_201	-1.3030103	EF
Parcel_202	-2.4427507	EF
Parcel_203	-2.3824682	EF
Parcel_204	-4.863952	EF
Parcel_205	-2.765178	EF
Parcel_206	-3.983305	EF
Parcel_207	-2.101355	EF
Parcel_208	-7.3342214	EF
Parcel_209	-1.3049309	EF
Parcel_210	-4.5110893	EF
Parcel_211	-3.4239805	EF
Parcel_212	-2.3490145	EF
Parcel_213	-7.7341423	EF
Parcel_214	-2.560107	EF
Parcel_215	-6.929257	EF
Parcel_216	-3.6844838	EF
Parcel_217	-4.247194	EF
Parcel_218	-5.3970814	EF
Parcel_219	-3.219446	EF
Parcel_220	-2.4594169	EF
Parcel_221	-7.890773	EF
Parcel_222	-3.3890579	EF
Parcel_223	-4.6988773	EF
Parcel_224	-3.5669825	EF
Parcel_225	-4.333936	EF
Parcel_226	-4.3979254	EF
Parcel_227	-1.8747381	EF
Parcel_228	-3.116335	EF
Parcel_229	-2.9745498	EF
Parcel_230	0.5553655	EF
Parcel_231	-3.2287169	EF
Parcel_232	-3.4553483	EF
Parcel_233	-3.8520827	EF
Parcel_234	-4.714007	EF
Parcel_235	-4.465701	EF
Parcel_236	-3.911669	EF
Parcel_237	-3.7161944	EF
Parcel_238	-3.850689	EF
Parcel_239	-4.8033366	EF
Parcel_240	-4.3582315	EF
Parcel_241	-5.618137	EF
Parcel_242	-4.7513895	EF
Parcel_243	-5.7918854	EF
Parcel_244	-5.936943	EF
Parcel_245	-1.2128962	EF
Parcel_246	-4.688334	EF
Parcel_247	-3.3407903	EF
Parcel_248	-4.414995	EF
Parcel_249	-4.03712	EF
Parcel_250	-4.7872124	EF
Parcel_251	-4.5735292	EF
Parcel_252	-4.1750216	EF
Parcel_253	-2.8247716	EF
Parcel_254	-4.317325	EF
Parcel_255	-3.5909767	EF
Parcel_256	-3.7418714	EF
Parcel_257	-3.3118737	EF
Parcel_258	-2.6728685	EF
Parcel_259	-3.3060944	EF
Parcel_260	-3.0270984	EF
Parcel_261	-0.16690864	EF
Parcel_262	-3.128297	EF
Parcel_263	-3.5528474	EF
Parcel_264	-3.9674232	EF
Parcel_265	-3.9431713	EF
Parcel_266	-1.0191475	EF
Parcel_267	-2.919586	EF
Parcel_268	-2.0061505	EF
Parcel_269	-2.212784	EF
Parcel_270	-2.779983	EF
Parcel_271	-1.2572709	EF
Parcel_272	-1.8036464	EF
Parcel_273	-3.4400492	EF
Parcel_274	-1.204438	EF
Parcel_275	2.7702053	EF
Parcel_276	-0.17071714	EF
Parcel_277	0.4698916	EF
Parcel_278	6.2790823	EF
Parcel_279	-0.23933949	EF
Parcel_280	3.2403681	EF
Parcel_281	5.733946	EF
Parcel_282	4.0159245	EF
Parcel_283	0.93390274	EF
Parcel_284	3.6223423	EF
Parcel_285	4.5428777	EF
Parcel_286	1.4215348	EF
Parcel_287	0.4402688	EF
Parcel_288	2.4008589	EF
Parcel_289	-2.8817987	EF
Parcel_290	1.3036906	EF
Parcel_291	5.730353	EF
Parcel_292	1.2769885	EF
Parcel_293	4.5047016	EF
Parcel_294	-3.6829002	EF
Parcel_295	-3.370246	EF
Parcel_296	-3.4515944	EF
Parcel_297	-5.6668367	EF
Parcel_298	-5.8427544	EF
Parcel_299	-4.1105013	EF
Parcel_300	-0.69822097	EF
Parcel_301	1.4800305	EF
Parcel_302	-4.2199564	EF
Parcel_303	-1.6918828	EF
Parcel_304	-4.6824927	EF
Parcel_305	-3.3812923	EF
Parcel_306	3.5566726	EF
Parcel_307	-4.0684824	EF
Parcel_308	-3.204357	EF
Parcel_309	0.96876067	EF
Parcel_310	1.9395117	EF
Parcel_311	1.2490698	EF
Parcel_312	-4.1161346	EF
Parcel_313	-4.569371	EF
Parcel_314	3.2369928	EF
Parcel_315	-3.164543	EF
Parcel_316	-5.206098	EF
Parcel_317	-1.8356946	EF
Parcel_318	1.184046	EF
Parcel_319	-1.2268478	EF
Parcel_320	-2.0405262	EF
