parcel	value	map	abs_value
Parcel_221	-7.890773	EF	7.890773
Parcel_012	-7.779504	EF	7.779504
Parcel_213	-7.7341423	EF	7.7341423
Parcel_015	-7.6602416	EF	7.6602416
Parcel_192	-7.4429	EF	7.4429
Parcel_208	-7.3342214	EF	7.3342214
Parcel_191	-7.000085	EF	7.000085
Parcel_215	-6.929257	EF	6.929257
Parcel_196	-6.843877	EF	6.843877
Parcel_009	-6.7734904	EF	6.7734904
Parcel_190	-6.7715445	EF	6.7715445
Parcel_168	-6.594746	EF	6.594746
Parcel_395	-6.5605083	EF	6.5605083
Parcel_278	6.2790823	EF	6.2790823
Parcel_355	6.125902	EF	6.125902
Parcel_148	6.0430512	EF	6.0430512
Parcel_019	-5.9761405	EF	5.9761405
Parcel_095	-5.9759035	EF	5.9759035
Parcel_244	-5.936943	EF	5.936943
Parcel_042	-5.9360714	EF	5.9360714
Parcel_173	-5.9085217	EF	5.9085217
Parcel_392	-5.8452644	EF	5.8452644
Parcel_298	-5.8427544	EF	5.8427544
Parcel_243	-5.7918854	EF	5.7918854
Parcel_087	5.744437	EF	5.744437
Parcel_281	5.733946	EF	5.733946
Parcel_336	5.7308297	EF	5.7308297
Parcel_291	5.730353	EF	5.730353
Parcel_197	-5.6790676	EF	5.6790676
Parcel_297	-5.6668367	EF	5.6668367
Parcel_241	-5.618137	EF	5.618137
Parcel_020	-5.6170077	EF	5.6170077
Parcel_198	-5.599509	EF	5.599509
Parcel_393	-5.5891857	EF	5.5891857
Parcel_109	-5.5747952	EF	5.5747952
Parcel_092	-5.556799	EF	5.556799
Parcel_195	-5.486947	EF	5.486947
Parcel_039	-5.4343634	EF	5.4343634
Parcel_218	-5.3970814	EF	5.3970814
Parcel_131	5.3660154	EF	5.3660154
Parcel_094	-5.2720037	EF	5.2720037
Parcel_108	-5.268234	EF	5.268234
Parcel_194	-5.234256	EF	5.234256
Parcel_193	-5.2330728	EF	5.2330728
Parcel_041	-5.21507	EF	5.21507
Parcel_398	-5.212591	EF	5.212591
Parcel_316	-5.206098	EF	5.206098
Parcel_111	-5.2048225	EF	5.2048225
Parcel_361	5.1920524	EF	5.1920524
Parcel_169	-5.1907783	EF	5.1907783
Parcel_397	-5.156944	EF	5.156944
Parcel_152	-5.1343756	EF	5.1343756
Parcel_049	-5.1061435	EF	5.1061435
Parcel_077	5.0777044	EF	5.0777044
Parcel_394	-5.0658336	EF	5.0658336
Parcel_335	5.0484023	EF	5.0484023
Parcel_018	-5.036859	EF	5.036859
Parcel_399	-4.97771	EF	4.97771
Parcel_046	-4.9718976	EF	4.9718976
Parcel_006	-4.9263997	EF	4.9263997
Parcel_100	-4.9058566	EF	4.9058566
Parcel_204	-4.863952	EF	4.863952
Parcel_053	-4.861911	EF	4.861911
Parcel_239	-4.8033366	EF	4.8033366
Parcel_250	-4.7872124	EF	4.7872124
Parcel_132	4.782678	EF	4.782678
Parcel_104	-4.754514	EF	4.754514
Parcel_051	-4.751719	EF	4.751719
Parcel_242	-4.7513895	EF	4.7513895
Parcel_370	-4.744244	EF	4.744244
Parcel_162	-4.7146626	EF	4.7146626
Parcel_234	-4.714007	EF	4.714007
Parcel_223	-4.6988773	EF	4.6988773
Parcel_035	-4.6922398	EF	4.6922398
Parcel_246	-4.688334	EF	4.688334
Parcel_304	-4.6824927	EF	4.6824927
Parcel_093	-4.67893	EF	4.67893
Parcel_025	-4.6787863	EF	4.6787863
Parcel_054	-4.613127	EF	4.613127
Parcel_048	-4.6082835	EF	4.6082835
Parcel_052	-4.5931935	EF	4.5931935
Parcel_059	-4.5901947	EF	4.5901947
Parcel_251	-4.5735292	EF	4.5735292
Parcel_313	-4.569371	EF	4.569371
Parcel_062	-4.565412	EF	4.565412
Parcel_285	4.5428777	EF	4.5428777
Parcel_024	-4.522621	EF	4.522621
Parcel_210	-4.5110893	EF	4.5110893
Parcel_379	-4.5075884	EF	4.5075884
Parcel_293	4.5047016	EF	4.5047016
Parcel_098	-4.465911	EF	4.465911
Parcel_235	-4.465701	EF	4.465701
Parcel_057	-4.4466867	EF	4.4466867
Parcel_130	4.443057	EF	4.443057
Parcel_044	-4.4182897	EF	4.4182897
Parcel_248	-4.414995	EF	4.414995
Parcel_226	-4.3979254	EF	4.3979254
Parcel_026	-4.359656	EF	4.359656
Parcel_240	-4.3582315	EF	4.3582315
Parcel_225	-4.333936	EF	4.333936
Parcel_034	-4.3337374	EF	4.3337374
Parcel_254	-4.317325	EF	4.317325
Parcel_067	-4.3172226	EF	4.3172226
Parcel_036	-4.3080096	EF	4.3080096
Parcel_055	-4.280875	EF	4.280875
Parcel_040	-4.279472	EF	4.279472
Parcel_179	-4.258067	EF	4.258067
Parcel_217	-4.247194	EF	4.247194
Parcel_302	-4.2199564	EF	4.2199564
Parcel_174	-4.1894364	EF	4.1894364
Parcel_252	-4.1750216	EF	4.1750216
Parcel_380	-4.1534014	EF	4.1534014
Parcel_312	-4.1161346	EF	4.1161346
Parcel_385	-4.1138606	EF	4.1138606
Parcel_299	-4.1105013	EF	4.1105013
Parcel_307	-4.0684824	EF	4.0684824
Parcel_160	-4.0599537	EF	4.0599537
Parcel_050	-4.051389	EF	4.051389
Parcel_249	-4.03712	EF	4.03712
Parcel_282	4.0159245	EF	4.0159245
Parcel_066	-4.012955	EF	4.012955
Parcel_374	-3.9875546	EF	3.9875546
