parcel	value	map	abs_value
Parcel_131	35.26766	PNC	35.26766
Parcel_336	34.57305	PNC	34.57305
Parcel_130	34.114468	PNC	34.114468
Parcel_337	32.33022	PNC	32.33022
Parcel_281	32.224064	PNC	32.224064
Parcel_278	32.02696	PNC	32.02696
Parcel_148	31.251165	PNC	31.251165
Parcel_078	30.513626	PNC	30.513626
Parcel_333	30.090872	PNC	30.090872
Parcel_361	29.79922	PNC	29.79922
Parcel_087	29.112894	PNC	29.112894
Parcel_334	29.00822	PNC	29.00822
Parcel_355	28.736383	PNC	28.736383
Parcel_335	28.382088	PNC	28.382088
Parcel_077	28.056602	PNC	28.056602
Parcel_192	-28.043053	PNC	28.043053
Parcel_127	27.919693	PNC	27.919693
Parcel_141	26.94605	PNC	26.94605
Parcel_285	26.774393	PNC	26.774393
Parcel_132	26.646906	PNC	26.646906
Parcel_099	25.909412	PNC	25.909412
Parcel_191	-25.905941	PNC	25.905941
Parcel_354	25.707294	PNC	25.707294
Parcel_190	-25.374405	PNC	25.374405
Parcel_075	25.111881	PNC	25.111881
Parcel_185	24.733673	PNC	24.733673
Parcel_284	24.586855	PNC	24.586855
Parcel_291	24.337784	PNC	24.337784
Parcel_280	23.963451	PNC	23.963451
Parcel_168	-23.823923	PNC	23.823923
Parcel_349	23.772875	PNC	23.772875
Parcel_351	23.69381	PNC	23.69381
Parcel_332	23.586832	PNC	23.586832
Parcel_137	23.373571	PNC	23.373571
Parcel_140	23.186892	PNC	23.186892
Parcel_298	-23.160025	PNC	23.160025
Parcel_092	-22.504099	PNC	22.504099
Parcel_306	22.420847	PNC	22.420847
Parcel_223	-22.298813	PNC	22.298813
Parcel_395	-22.07305	PNC	22.07305
Parcel_109	-22.026533	PNC	22.026533
Parcel_275	21.946268	PNC	21.946268
Parcel_173	-21.830551	PNC	21.830551
Parcel_352	21.764685	PNC	21.764685
Parcel_089	21.72468	PNC	21.72468
Parcel_171	21.703665	PNC	21.703665
Parcel_350	21.557436	PNC	21.557436
Parcel_314	21.414654	PNC	21.414654
Parcel_196	-21.331171	PNC	21.331171
Parcel_073	21.110405	PNC	21.110405
Parcel_041	-21.014479	PNC	21.014479
Parcel_189	20.999607	PNC	20.999607
Parcel_392	-20.890213	PNC	20.890213
Parcel_138	20.878086	PNC	20.878086
Parcel_353	20.803736	PNC	20.803736
Parcel_345	20.59451	PNC	20.59451
Parcel_243	-20.478514	PNC	20.478514
Parcel_042	-20.46455	PNC	20.46455
Parcel_095	-20.34741	PNC	20.34741
Parcel_039	-20.34144	PNC	20.34144
Parcel_142	20.245829	PNC	20.245829
Parcel_101	20.191116	PNC	20.191116
Parcel_049	-20.179039	PNC	20.179039
Parcel_165	20.014484	PNC	20.014484
Parcel_091	19.875103	PNC	19.875103
Parcel_088	19.867294	PNC	19.867294
Parcel_020	-19.771807	PNC	19.771807
Parcel_199	19.714096	PNC	19.714096
Parcel_297	-19.680601	PNC	19.680601
Parcel_282	19.671553	PNC	19.671553
Parcel_316	-19.48441	PNC	19.48441
Parcel_242	-19.461277	PNC	19.461277
Parcel_241	-19.414278	PNC	19.414278
Parcel_343	18.979836	PNC	18.979836
Parcel_357	18.74195	PNC	18.74195
Parcel_086	18.674278	PNC	18.674278
Parcel_360	18.673422	PNC	18.673422
Parcel_250	-18.57646	PNC	18.57646
Parcel_169	-18.455173	PNC	18.455173
Parcel_182	18.360203	PNC	18.360203
Parcel_244	-18.348999	PNC	18.348999
Parcel_104	-18.274742	PNC	18.274742
Parcel_226	-18.262522	PNC	18.262522
Parcel_239	-18.07882	PNC	18.07882
Parcel_139	18.042265	PNC	18.042265
Parcel_040	-17.911026	PNC	17.911026
Parcel_111	-17.845463	PNC	17.845463
Parcel_100	-17.830664	PNC	17.830664
Parcel_195	-17.783714	PNC	17.783714
Parcel_094	-17.783684	PNC	17.783684
Parcel_144	17.644043	PNC	17.644043
Parcel_054	-17.438757	PNC	17.438757
Parcel_340	17.357023	PNC	17.357023
Parcel_234	-17.301817	PNC	17.301817
Parcel_129	17.280512	PNC	17.280512
Parcel_379	-17.264154	PNC	17.264154
Parcel_081	17.226782	PNC	17.226782
Parcel_036	-16.944702	PNC	16.944702
Parcel_293	16.89521	PNC	16.89521
Parcel_034	-16.759727	PNC	16.759727
Parcel_186	16.7265	PNC	16.7265
Parcel_277	16.71925	PNC	16.71925
Parcel_024	-16.659357	PNC	16.659357
Parcel_310	16.642365	PNC	16.642365
Parcel_108	-16.568747	PNC	16.568747
Parcel_085	-16.466215	PNC	16.466215
Parcel_342	16.461082	PNC	16.461082
Parcel_390	16.423874	PNC	16.423874
Parcel_032	-16.353462	PNC	16.353462
Parcel_347	16.33039	PNC	16.33039
Parcel_240	-16.314573	PNC	16.314573
Parcel_035	-16.249495	PNC	16.249495
Parcel_090	16.145594	PNC	16.145594
Parcel_145	16.138138	PNC	16.138138
Parcel_387	16.064898	PNC	16.064898
Parcel_084	-15.961825	PNC	15.961825
Parcel_198	-15.877268	PNC	15.877268
Parcel_152	-15.847121	PNC	15.847121
Parcel_080	15.779545	PNC	15.779545
Parcel_236	-15.778651	PNC	15.778651
Parcel_038	-15.7497015	PNC	15.7497015
Parcel_254	-15.719306	PNC	15.719306
Parcel_251	-15.68774	PNC	15.68774
Parcel_346	15.608486	PNC	15.608486
Parcel_050	-15.372842	PNC	15.372842
Parcel_205	-15.349989	PNC	15.349989
Parcel_026	-15.268532	PNC	15.268532
Parcel_237	-15.238178	PNC	15.238178
Parcel_304	-15.23676	PNC	15.23676
Parcel_222	-15.111432	PNC	15.111432
Parcel_135	14.986655	PNC	14.986655
Parcel_033	-14.969952	PNC	14.969952
Parcel_037	-14.9642725	PNC	14.9642725
Parcel_229	-14.963268	PNC	14.963268
Parcel_307	-14.925329	PNC	14.925329
Parcel_058	-14.921423	PNC	14.921423
Parcel_252	-14.76704	PNC	14.76704
Parcel_233	-14.7526	PNC	14.7526
Parcel_299	-14.654096	PNC	14.654096
Parcel_018	-14.420303	PNC	14.420303
Parcel_217	-14.395838	PNC	14.395838
Parcel_206	-14.3639765	PNC	14.3639765
Parcel_029	-14.327126	PNC	14.327126
Parcel_313	-14.26556	PNC	14.26556
Parcel_265	-14.002638	PNC	14.002638
Parcel_004	-13.997338	PNC	13.997338
Parcel_235	-13.967936	PNC	13.967936
Parcel_067	-13.886384	PNC	13.886384
Parcel_370	-13.82766	PNC	13.82766
Parcel_302	-13.783438	PNC	13.783438
Parcel_048	-13.769952	PNC	13.769952
Parcel_367	-13.748705	PNC	13.748705
Parcel_124	-13.742467	PNC	13.742467
Parcel_093	-13.713741	PNC	13.713741
Parcel_289	-13.645665	PNC	13.645665
Parcel_231	-13.61908	PNC	13.61908
Parcel_290	13.584347	PNC	13.584347
Parcel_315	-13.48021	PNC	13.48021
Parcel_011	-13.426565	PNC	13.426565
Parcel_149	-13.414861	PNC	13.414861
Parcel_312	-13.369904	PNC	13.369904
Parcel_005	-13.314639	PNC	13.314639
Parcel_216	-13.271537	PNC	13.271537
Parcel_225	-13.189969	PNC	13.189969
Parcel_102	-13.114273	PNC	13.114273
Parcel_098	-13.066762	PNC	13.066762
Parcel_060	-13.042259	PNC	13.042259
Parcel_055	-12.944235	PNC	12.944235
Parcel_046	-12.837377	PNC	12.837377
Parcel_341	12.643695	PNC	12.643695
Parcel_249	-12.573968	PNC	12.573968
Parcel_051	-12.5609045	PNC	12.5609045
Parcel_110	12.559802	PNC	12.559802
Parcel_308	-12.500193	PNC	12.500193
Parcel_062	-12.492343	PNC	12.492343
Parcel_247	-12.3731165	PNC	12.3731165
Parcel_025	-12.355235	PNC	12.355235
Parcel_016	-12.301203	PNC	12.301203
Parcel_224	-12.268589	PNC	12.268589
Parcel_288	12.20721	PNC	12.20721
Parcel_318	12.190043	PNC	12.190043
Parcel_136	12.189801	PNC	12.189801
Parcel_391	12.162585	PNC	12.162585
Parcel_301	12.161386	PNC	12.161386
Parcel_153	-12.117861	PNC	12.117861
Parcel_258	-12.074646	PNC	12.074646
Parcel_156	-12.051073	PNC	12.051073
Parcel_257	-12.009278	PNC	12.009278
Parcel_044	-11.974665	PNC	11.974665
Parcel_246	-11.973448	PNC	11.973448
Parcel_112	-11.967099	PNC	11.967099
Parcel_264	-11.934727	PNC	11.934727
Parcel_179	-11.927091	PNC	11.927091
Parcel_283	11.822064	PNC	11.822064
Parcel_010	-11.820294	PNC	11.820294
Parcel_263	-11.686358	PNC	11.686358
Parcel_015	-11.647134	PNC	11.647134
Parcel_248	-11.634016	PNC	11.634016
Parcel_339	11.609833	PNC	11.609833
Parcel_043	-11.60126	PNC	11.60126
Parcel_366	11.524775	PNC	11.524775
Parcel_017	-11.508517	PNC	11.508517
Parcel_212	-11.451824	PNC	11.451824
Parcel_255	-11.447508	PNC	11.447508
Parcel_262	-11.306236	PNC	11.306236
Parcel_103	11.24544	PNC	11.24544
Parcel_013	-11.2270155	PNC	11.2270155
Parcel_380	-11.219668	PNC	11.219668
Parcel_215	-11.219495	PNC	11.219495
Parcel_072	-11.180926	PNC	11.180926
Parcel_031	11.141457	PNC	11.141457
Parcel_267	-11.134472	PNC	11.134472
Parcel_327	-11.091457	PNC	11.091457
Parcel_045	-11.04414	PNC	11.04414
Parcel_162	-11.031551	PNC	11.031551
Parcel_007	-10.970014	PNC	10.970014
Parcel_053	-10.928665	PNC	10.928665
Parcel_260	-10.9023485	PNC	10.9023485
Parcel_066	-10.8566675	PNC	10.8566675
Parcel_394	-10.741625	PNC	10.741625
Parcel_292	10.698292	PNC	10.698292
Parcel_311	10.697208	PNC	10.697208
Parcel_002	-10.583607	PNC	10.583607
Parcel_221	-10.56801	PNC	10.56801
Parcel_174	-10.539332	PNC	10.539332
Parcel_211	-10.335199	PNC	10.335199
Parcel_348	10.334449	PNC	10.334449
Parcel_365	10.314952	PNC	10.314952
Parcel_097	-10.297332	PNC	10.297332
Parcel_329	-10.118743	PNC	10.118743
Parcel_059	-10.108815	PNC	10.108815
Parcel_381	-10.105714	PNC	10.105714
Parcel_057	-10.097655	PNC	10.097655
